Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Start Date,Result Status,Characteristic Name,Method Speciation,Sample Fraction,Result Value,Result Unit
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,07-11-1989,Final,Phosphate-phosphorus,as P,Total,0.111,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,pH,,Total,8.0,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,"Temperature, water",,,22.4,deg C
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,Dissolved oxygen (DO),,Total,6.2,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,Total dissolved solids,,,1070,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,Turbidity,,Total,56.8,NTU
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,pH,,Total,8.4,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,07-11-1989,Final,Phosphate-phosphorus,as P,Total,0.068,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,"Temperature, water",,,22.2,deg C
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,"Depth, Secchi disk depth",,Total,0.175,m
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,38.6,ug/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,Total dissolved solids,,,1246,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.024,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,08-14-1990,Final,pH,,Total,8.0,None
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,08-14-1990,Final,"Temperature, water",,,22.0,deg C
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.077,mg/l
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,08-14-1990,Final,Total dissolved solids,,,1214,mg/l
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,08-14-1990,Final,pH,,Total,7.3,None
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,08-14-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,219.0,ug/l
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,08-14-1990,Final,"Temperature, water",,,21.8,deg C
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,08-14-1990,Final,pH,,Total,7.3,None
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,08-14-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.036,mg/l
